Index,States/UTs,Persons killed in road accidents,Persons killed/Lakh Population,Killed per 10000 vehicles,Urban,Rural,non-wearing of helmet,non-wearing of seat belt,over speeding,drunk driving,driving wrong side,jumping red light,using mobile phone
1,Andhra Pradesh,8293,15.7,5.4,2092,6201,3042,895,6760,31,322,6,126
2,Arunachal Pradesh,148,9.6,3.2,103,45,32,15,65,22,15,0,5
3,Assam,2994,8.5,6,1591,1403,347,450,1933,139,330,60,122
4,Bihar,8898,7.1,6.8,2859,6039,960,180,4928,40,1309,0,13
5,Chhattisgarh,5834,19.6,6.6,1168,4666,3714,636,4808,40,147,8,7
6,Goa,271,17.3,1.5,77,194,111,10,240,2,0,0,0
7,Gujarat,7618,10.8,2.3,2260,5358,2470,891,7236,7,231,0,6
8,Haryana,4915,16.5,5.2,2166,2749,571,358,3489,89,176,34,75
9,Himachal Pradesh,1032,13.9,5.2,160,872,150,289,304,24,159,0,12
10,Jharkhand,3898,10,6,855,3043,1602,743,3131,125,133,0,12
11,Karnataka,11702,17.4,3.7,3022,8680,2923,1114,10723,82,195,4,5
12,Kerala,4317,12.1,2.1,1090,3227,534,74,2282,31,198,2,7
13,Madhya Pradesh,13427,15.7,6.2,3896,9531,4869,1809,10356,342,760,18,338
14,Maharashtra,15224,12.1,3.1,4164,11060,5279,1521,11493,133,730,32,27
15,Manipur,127,4,3.5,44,83,22,16,96,7,5,0,0
16,Meghalaya,162,4.9,3.9,37,125,14,10,96,7,9,0,0
17,Mizoram,113,9.2,1.6,59,54,8,6,57,13,14,0,0
18,Nagaland,73,3.3,1,49,24,13,19,25,8,2,0,0
19,Odisha,5467,11.9,5.2,1710,3757,1695,503,3675,301,432,34,120
20,Punjab,4756,15.6,23.3,2144,2612,811,372,3090,118,502,102,139
21,Rajasthan,11104,13.9,4.8,2704,8400,3052,1648,8998,98,491,4,58
22,Sikkim,92,13.5,8.7,14,78,0,0,20,3,3,0,0
23,Tamil Nadu,17884,23.3,4.5,5137,12747,7612,621,15653,71,4,116,12
24,Telangana,7559,19.9,5.3,2988,4571,2963,635,6592,190,95,3,9
25,Tripura,241,5.9,3.5,75,166,23,15,205,0,36,0,0
26,Uttarakhand,1042,9,2.3,355,687,224,43,782,7,49,0,1
27,Uttar Pradesh,22595,9.7,5.5,10038,12557,6349,3611,9297,2186,2580,917,2245
28,West Bengal,6002,6.1,4.7,1525,4477,357,69,1937,12,45,7,6
29,A & N Islands,19,4.7,0.9,5,14,0,0,2,3,0,0,0
30,Chandigarh,83,6.8,0.5,83,0,12,0,59,8,3,4,0
31,D & N Haveli,90,7.7,2.4,27,63,54,10,74,6,4,0,0
32,Delhi,1461,7,1,1430,31,37,12,648,51,105,111,49
33,Jammu & Kashmir,805,6,3.7,203,602,81,113,797,0,8,0,0
34,Ladakh,62,20.7,0,18,44,4,27,35,4,2,0,1
35,Lakshadweep,2,2.9,0,0,2,0,0,2,0,0,0,0
36,Puducherry,140,11.3,1.3,82,99,94,0,16,1,0,0,0